PDB code	Chain	Chain length	Molecule Name	Molecule category assigned by KD code	Manual category assigned 
1ypz	A	260	H2-T22 PROTEIN	other	MHC
1ypz	C	260	H2-T22 PROTEIN	other	MHC
2e71	C	121	BETA-CHAIN	other	TCR
2e71	D	121	BETA-CHAIN	other	TCR
2p5e	E	242	HYPOTHETICAL PROTEIN	other	TCR
2p5w	E	243	HYPOTHETICAL PROTEIN	other	TCR
3ard	A	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3ard	C	207	"NKT VALPHA14-JALPHA18,NKT VALPHA14-JALPHA18"	other	TCR
3ard	D	244	"VBETA8.2,VBETA8.2"	other	TCR
3h9s	E	245	TRBV6-5 PROTEIN	other	TCR
3he6	A	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3he6	C	207	"VALPHA14(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3he6	D	244	"VBETA8.2(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3o8x	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3qdg	D	199	DMF5 ALPHA CHAIN	other	TCR
3qdg	E	242	DMF5 BETA CHAIN	other	TCR
3qdj	D	199	DMF5 ALPHA CHAIN	other	TCR
3qdj	E	242	DMF5 BETA CHAIN	other	TCR
3qdm	D	195	DMF4 ALPHA CHAIN	other	TCR
3qdm	E	242	DMF4 BETA CHAIN	other	TCR
3qeq	D	194	DMF4 ALPHA CHAIN	other	TCR
3qeq	E	243	DMF4 BETA CHAIN	other	TCR
3qfj	D	200	A6 ALPHA CHAIN	other	TCR
3qfj	E	245	A6 BETA CHAIN	other	TCR
3quy	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3quy	C	209	"VALPHA14 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3quy	D	241	"VBETA8.2 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3quz	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3quz	C	209	"VALPHA14 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3quz	D	241	"VBETA8.2 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rtq	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3rtq	C	209	"VALPHA14 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rtq	D	241	"V BETA8.2 (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rug	A	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3rug	C	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3rug	E	204	"VALPHA10(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rug	F	241	"VBETA8.1(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rug	G	204	"VALPHA10(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rug	H	241	"VBETA8.1(MOUSE VARIABLE DOMAIN, HUMAN CONSTANT DOMAIN)"	other	TCR
3rzc	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
